0	I want a red car with heated seats.
1	I want a blue car with safety driving aids.
2	I want an old and cheap car with high emission volume.
3	I want an expensive car with all safety configurations.
4	I want a black car with multimedia system and moderate price.
5	I want an expensive car with high performance.
6	I want a Tesla electric car.
7	I want a cheap Dodge performance car.
8	I want a white car with rich technology.
9	I want a diesel-driven car with high engine power.
10	I want a small emission volume car with CarPlay.
11	I want a blue color 2018 Ford SUV.
12	I want a red car with high safety configurations.
13	I want to keep warm in winter and start the car remotely.
14	I want to search for a cost-effective car for school.
15	I want a racecar but with limited budget.
16	I want a car with rich gear levels and high horse power.
17	I want a white four wheel drive BMW car.
18	I want a moderate emission volume car with moderate price.
19	I want a four wheel drive car with good performance in snowy weather.